label,tfidf
data,4.0475299468512826
data,4.7549634153535765
data,4.5998680169452477
data,3.8750751104582921
data,4.8150034064345366
data,5.7600009956940914
data,5.0376512513612255
data,4.0332177628685191
data,3.4110993272185146
data,3.3101638263314155
data,4.5788660058517383
data,3.6245046003188244
data,4.9002836705913966
data,4.9612483368326545
data,5.2496430808582115
data,4.0181062015476003
data,5.0096210360773323
data,3.6789294795479028
data,4.5682749801536806
data,4.0734495666412087
data,5.4687230758986178
data,4.2019961320320434
data,5.7160992905695283
data,5.0248743867846608
data,4.9434805241484536
data,3.3506332784171611
data,4.1297023519848857
data,3.1964038588533827
data,5.4662134060914145
data,5.7833601106230521
data,2.987537551667335
data,6.3550511127313039
data,3.6270583953253608
data,3.1951326760253886
data,4.8170143988898646
data,4.461707021387185
data,3.4156888023004908
data,4.5938825855708041
data,3.6227906966950374
data,4.2965964965019721
data,3.7288906410329115
data,4.2352385036981426
data,5.1463868307533209
data,5.1463868307533209
data,4.9762372866075966
data,4.9762372866075966
data,4.9762372866075966
data,4.9762372866075966
data,4.9762372866075966
data,4.6482618211911548
data,4.5173867862893058
data,4.8236643610859815
data,1.9939100504500611
data,4.1018008851724588
data,3.0150367149760369
data,4.0819623151076918
data,3.4173926797543155
data,3.6049889892480476
data,5.5921335212274341
data,2.2976764873259716
data,4.6199790669873178
data,4.3157986149995864
data,4.6958224403989464
data,4.3316048992152778
data,3.8890313988144527
data,3.927701568679681
data,5.9431708136800516
data,4.3551006589698495
data,4.3543208134931914
data,4.3403747924237903
data,4.3403747924237903
data,3.2493264723463997
data,4.656021035806412
data,3.8561289619498074
data,3.9561648706918726
data,3.5247783417527576
data,4.4327540507034344
data,5.131151047686342
data,5.8578006692424029
data,5.7138056651405087
data,5.5892401434344166
data,4.3307311519773037
data,5.5892401434344166
data,6.0497414958072477
data,4.8025993710435646
data,5.1123312079955969
data,4.0683820360498855
data,3.4813253449121637
data,4.35222658497488
data,5.1716156745461568
data,1.0
data,3.7575583260721013
data,3.865750663769941
data,3.4811272157028865
data,2.4786884751455429
data,3.8040101921287808
data,3.894160714912509
data,3.0977152091003131
data,4.3642415316578953
data,3.1911870783198815
data,5.0552970984703185
data,4.2289196977529748
data,4.4528614910276909
