Year,Datasets_total,Requests,Note
2006,34,2,
2007,36,0,
2008,41,10,
2009,46,14,
2010,50,11,
2011,53,35,
2012,97,44,
2013,129,54,
2014,138,150,
2015,143,347,
2016,159,256,IMPACT has some outage time in this year
2017,169,119,censoring data
